EQPTNAME,KW,STATR_VOL,STATR_CUR,ROTOR_VOL,ROTOR_CUR,SPEED,MAKE,MNTNG,DE,NDE,FRAME,AREA,LOCATION,COUPLING,REMARKS
LADLE MARSHALLING WINCH-1,25,415,44,0,0,960,CGL,FOOT,NU315,6315,E250M,BF1,NO DATA,NO DATA,NO DATA
LADLE MARSHALLING WINCH-3,25,415,44,0,0,960,CGL,FOOT,NU315,6315,E250M,BF1,NO DATA,NO DATA,NO DATA
WATER RETURN PUMP,3.7,415,7.5,0,0,2850,CGL,FOOT,6306,6206,ND112M,BF1,NO DATA,NO DATA,NO DATA
WATER RETURN PUMP,3.7,415,7.5,0,0,2850,CGL,FOOT,6306,6206,ND112M,BF1,NO DATA,NO DATA,NO DATA
TABLE FEEDER MOTOR-1,0.75,415,2.1,0,0,1400,CGL,FLAN,6304Z,6305Z,D 80C,BF1,NO DATA,NO DATA,NO DATA
TABLE FEEDER MOTOR-2,0.75,415,2.1,0,0,1400,CGL,FLAN,6304Z,6304Z,D 80C,BF1,NO DATA,NO DATA,NO DATA
TABLE FEEDER MOTOR-3,0.75,415,2.1,0,0,1400,CGL,FLAN,6404Z,6304Z,D 80C,BF1,NO DATA,NO DATA,NO DATA
TABLE FEEDER MOTOR-4,0.75,415,2.1,0,0,1400,CGL,FLAN,6304Z,6304Z,D 80C,BF1,NO DATA,NO DATA,NO DATA
DRUM SLACKER MOTOR-1,3.7,415,7.9,0,0,1430,CGL,FOOT,6306,6206,ND112M,BF1,NO DATA,NO DATA,NO DATA
DRUM SLACKER MOTOR-2,3.7,415,7.9,0,0,1430,CGL,FOOT,6306,6206,ND112M,BF1,NO DATA,NO DATA,NO DATA
DRUM SLACKER MOTOR-3,3.7,415,7.9,0,0,1430,CGL,FOOT,6306,6206,ND112M,BF1,NO DATA,NO DATA,NO DATA
MIXER TANK MOTOR-1,7.5,415,15,0,0,1440,CGL,FOOT,6309,6309,D160M,BF1,NO DATA,NO DATA,NO DATA
MIXER TANK MOTOR-2,7.5,415,15,0,0,1440,CGL,FOOT,6309,6309,D160M,BF1,NO DATA,NO DATA,NO DATA
VENTILLATION MOTOR-1,0.19,415,0.7,0,0,900,CGL,FOOT,6304Z,6304Z,D 80C,BF1,NO DATA,NO DATA,NO DATA
VENTILLATION MOTOR-2,0.19,415,0.7,0,0,900,CGL,FOOT,6304Z,6304Z,D 80C,BF1,NO DATA,NO DATA,NO DATA
LIME SOLUTION TRANSFER PU,5.5,415,11,0,0,1440,CGL,FOOT,6308,6208,ND132S,BF1,NO DATA,NO DATA,NO DATA
LIME SOLUTION TRANSFER PU,5.5,415,11,0,0,1440,CGL,FOOT,6308,6208,ND132S,BF1,NO DATA,NO DATA,NO DATA
LIME SOLUTION TRANSFER PU,5.5,415,11,0,0,1440,CGL,FOOT,6308,6208,ND132S,BF1,NO DATA,NO DATA,NO DATA
LIME SOLUTION TRANSFER PU,5.5,415,11,0,0,1440,CGL,FOOT,6308,6208,ND132S,BF1,NO DATA,NO DATA,NO DATA
LIME SOLUTION TRANSFER PU,5.5,415,11,0,0,1440,CGL,FOOT,6308,6208,ND132S,BF1,NO DATA,NO DATA,NO DATA
LIME SOLUTION TRANSFER PU,5.5,415,11,0,0,1440,CGL,FOOT,6308,6208,ND132S,BF1,NO DATA,NO DATA,NO DATA
LIME SPRAYER MOTOR-RHS,15,415,32,0,0,730,CGL,FOOT,6313,6313,E225M,BF1,NO DATA,NO DATA,NO DATA
DRUM SLACKER MOTOR-4,3.7,415,7.9,0,0,1430,CGL,FOOT,6306,6206,ND112M,BF1,NO DATA,NO DATA,NO DATA
LIME SPRAYER MOTOR-LHS,15,415,32,0,0,730,CGL,FOOT,6313,6313,E225M,BF1,NO DATA,NO DATA,NO DATA
LIME SPRAYER MOTOR-RHS,15,415,32,0,0,730,CGL,FOOT,6313,6313,E225M,BF1,NO DATA,NO DATA,NO DATA
LIME SPRAYER MOTOR-LHS,15,415,32,0,0,730,CGL,FOOT,6313,6313,E225M,BF1,NO DATA,NO DATA,NO DATA
