EQPTNAME,KW,STATR_VOL,STATR_CUR,ROTOR_VOL,ROTOR_CUR,SPEED,MAKE,MNTNG,DE,NDE,FRAME,AREA,LOCATION,COUPLING,REMARKS
LRS MORTAR M/C,5.5,415,10.5,0,0,1440,NGEF,FOOT,6308C3,6308C3,AM132S24,BF1,NO DATA,NO DATA,NO DATA
LRS BRICK-CUTTING M/C,3.7,415,7,0,0,2830,HBB,FOOT,6206,6206,100L,BF1,NO DATA,NO DATA,NO DATA
LRS DRIER LIFTING M/C,2.2,415,5.2,0,0,935,BBL,FOOT,6306,6206,112M,BF1,NO DATA,NO DATA,NO DATA
LRS DRIER LIFTING M/C,2.2,415,5.2,0,0,935,BBL,FOOT,6306,6206,112M,BF1,NO DATA,NO DATA,NO DATA
LRS LADLE DRIER M/C,9.3,415,17.5,0,0,2900,NGEF,FOOT,6310C3,6310C3,AM160M2,BF1,NO DATA,NO DATA,NO DATA
LADLE DRIER M/C,9.3,415,17.5,0,0,2900,NGEF,FOOT,6310C3,6310C3,AM160M2,BF1,NO DATA,NO DATA,NO DATA
BRICK CUTTING EXHAUST M/C,2.2,415,5,0,0,1435,HBB,FOOT,NO DATA,NO DATA,AQU100L 4AM,BF1,NO DATA,NO DATA,NO DATA
LRS GRINDER M/C,0.75,415,1.7,0,0,2800,KEC,FLAN,6204,6204,KH180,BF1,TOP,NO DATA,NO DATA
KK1 CONVEYOR,200,415,348,440,288,987,GEC,FOOT,N324,6324,KS400L,BHS1,RHS,PAD COUPLING,NO DATA
KK2 CONVEYOR,200,415,348,440,288,987,GEC,FOOT,N324,6324,KS400L,BHS1,RHS,PAD COUPLING,NO DATA
KA1 CONVEYOR,250,415,435,538,293,987,GEC,FOOT,N324,6324,KS400L,BHS1,RHS,NO DATA,NO DATA
KA2 CONVEYOR,250,415,435,538,293,987,GEC,FOOT,N324,6324,KS400L,BHS1,RHS,NO DATA,NO DATA
KP1 CONVEYOR,250,415,435,538,293,987,GEC,FOOT,N324,6324,KS400L,BHS1,RHS,NO DATA,NO DATA
KKP CONVEYOR(BELT MOTION),18.5,415,38,0,0,970,GEC,FOOT,NO DATA,NO DATA,200L,BHS1,RHS,NO DATA,NO DATA
KKP CONVEYOR(MOVEMENT),3.7,415,8.4,0,0,950,GEC,FOOT,NO DATA,NO DATA,132M,BHS1,RHS,NO DATA,NO DATA
REVERSIBLE TROUGH-KK1,15,415,28,0,0,965,CGL,FOOT,6310,6310,E180L,BHS1,RHS,NO DATA,NO DATA
REVERSIBLE TROUGH-KK2,15,415,28,0,0,965,CGL,FOOT,6310,6310,E180L,BHS1,RHS,NO DATA,NO DATA
REVERSIBLE TROUGH-KA1,15,415,28,0,0,965,CGL,FOOT,6310,6310,E180L,BHS1,RHS,NO DATA,NO DATA
REVERSIBLE TROUGH-KA2,15,415,28,0,0,965,CGL,FOOT,6310,6310,E180L,BHS1,RHS,NO DATA,NO DATA
PUMP MOTOR-151,80,415,150,0,0,1483,KEC,FOOT,N317,6317,LD280NMK11,BHS1,RHS,NO DATA,NO DATA
PUMP MOTOR-152,80,415,150,0,0,1483,KEC,FOOT,N317,6317,LD280NMK11,BHS1,RHS,NO DATA,NO DATA
VALVE @400MM,4,415,8.1,0,0,2890,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,BHS1,NO DATA,NO DATA,NO DATA
B3 CONVEYOR,75,415,136,0,0,1485,GEC,FOOT,N317,6314,280S,BHS1,RHS,NO DATA,NO DATA
B4 CONVEYOR,75,415,143,0,0,1485,GEC,FOOT,N317,6314,280S,BHS1,RHS,NO DATA,NO DATA
B5 CONVEYOR,75,415,143,0,0,1485,GEC,FOOT,N317,6314,280S,BHS1,RHS,NO DATA,NO DATA
B6 CONVEYOR,75,415,143,0,0,1485,GEC,FOOT,N317,6314,280S,BHS1,RHS,NO DATA,NO DATA
B7 BELT MOTOR,37,415,68,0,0,1470,GEC,FOOT,6313,6313,225S,BHS1,LHS,NO DATA,NO DATA
B7 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132M,BHS1,RHS,NO DATA,NO DATA
B7 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132M,BHS1,RHS,NO DATA,NO DATA
B7 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132S,BHS1,RHS,NO DATA,NO DATA
B7 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132S,BHS1,NO DATA,NO DATA,NO DATA
B8 CONVEYOR MOTOR,37,415,67,0,0,1470,GEC,FOOT,6313,6313,225S,BHS1,NO DATA,NO DATA,NO DATA
B8 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132S,BHS1,NO DATA,NO DATA,NO DATA
B8 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132M,BHS1,NO DATA,NO DATA,NO DATA
B8 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132M,BHS1,NO DATA,NO DATA,NO DATA
B8 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132M,BHS1,NO DATA,NO DATA,NO DATA
B9 CONVEYOR MOTOR,37,415,67,0,0,1470,GEC,FOOT,6313,6313,225S,BHS1,NO DATA,NO DATA,NO DATA
B9 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132M,BHS1,NO DATA,NO DATA,NO DATA
B9 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132M,BHS1,NO DATA,NO DATA,NO DATA
B9 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132M,BHS1,NO DATA,NO DATA,NO DATA
B9 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132M,BHS1,NO DATA,NO DATA,NO DATA
B10 CONVEYOR MOTOR,37,415,67,0,0,1470,GEC,FOOT,6313,6313,225S,BHS1,NO DATA,NO DATA,NO DATA
B10 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132M,BHS1,NO DATA,NO DATA,NO DATA
B10 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132M,BHS1,NO DATA,NO DATA,NO DATA
B10 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132M,BHS1,NO DATA,NO DATA,NO DATA
B10 CONVEYOR TRAVEL MOTOR,5.5,415,8.4,0,0,950,GEC,FOOT,6208Z,6208Z,132M,BHS1,NO DATA,NO DATA,NO DATA
"SCREEN-1,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MTKH 412-8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-1,MOTOR-2",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,NO DATA,NO DATA,NO DATA
"SCREEN-2,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-2,MOTOR-2",22,415,55,0,0,700,USSR,FOOT,60314,60314,MTKH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-3,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MTKH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-3,MOTOR-2",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-4,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-4,MOTOR-2",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-5,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-5,MOTOR-2",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-6,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-6,MOTOR-2",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-7,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-7,MOTOR-2",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-8,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-8,MOTOR-2",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-9,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-9,MOTOR-2",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-10,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-10,MOTOR-2",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-11,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-11,MOTOR-2",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-12,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-12,MOTOR-2",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-13,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-13,MOTOR-2",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-14,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-14,MOTOR-1",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SCREEN-14,MOTOR-2",22,415,55,0,0,700,USSR,FOOT,60314,60314,MKTH 412.8T1,BHS1,TOP,NO DATA,NO DATA
"SINTER GATE-1,MOTOR-1",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-1,MOTOR-2",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-2,MOTOR-1",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-2,MOTOR-2",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-3,MOTOR-1",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-3,MOTOR-2",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-4,MOTOR-1",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-4,MOTOR-2",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-5,MOTOR-1",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-5,MOTOR-2",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-6,MOTOR-1",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-6,MOTOR-2",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-7,MOTOR-1",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-7,MOTOR-2",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-8,MOTOR-1",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"SINTER GATE-8,MOTOR-2",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"COKE GATE-1,MOTOR-1",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"COKE GATE-1,MOTOR-2",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"COKE GATE-2,MOTOR-1",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"COKE GATE-2,MOTOR-2",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"COKE GATE-3,MOTOR-1",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"COKE GATE-3,MOTOR-2",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"COKE GATE-4,MOTOR-1",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"COKE GATE-4,MOTOR-2",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"COKE GATE-5,MOTOR-1",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"COKE GATE-5,MOTOR-2",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"COKE GATE-6,MOTOR-1",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
"COKE GATE-6,MOTOR-2",5,415,16.7,0,0,335,USSR,FOOT,2317,317,AP83.16,BHS1,NO DATA,NO DATA,NO DATA
ADDITIVE GATE-1,1.7,415,10.8,0,0,340,USSR,FOOT,2311,311,AP64.16,BHS1,NO DATA,NO DATA,NO DATA
ADDITIVE GATE-2,1.7,415,10.8,0,0,340,USSR,FOOT,2311,311,AP64.16,BHS1,NO DATA,NO DATA,NO DATA
ADDITIVE GATE-3,1.7,415,10.8,0,0,340,USSR,FOOT,2311,311,AP64.16,BHS1,TOP,NO DATA,NO DATA
235 PUMP MOTOR,11,415,20,0,0,1450,USSR,FOOT,76-180609C9W1,76-180609C9W1,DA132M4T2,BHS1,TOP,NO DATA,NO DATA
236 PUMP MOTOR,11,415,20,0,0,1450,USSR,FOOT,76-180609C9W1,76-180609C9W1,DA132M4T2,BHS1,TOP,NO DATA,NO DATA
239 TROLLEY MOTOR-1,2.4,415,9,0,0,455,USSR,FOOT,NO DATA,NO DATA,NO DATA,BHS1,NO DATA,NO DATA,NO DATA
239 TROLLEY MOTOR-2,2.4,415,9,0,0,455,USSR,FOOT,NO DATA,NO DATA,NO DATA,BHS1,NO DATA,NO DATA,NO DATA
240 TROLLEY MOTOR-1,2.4,415,9,0,0,455,USSR,FOOT,NO DATA,NO DATA,NO DATA,BHS1,NO DATA,NO DATA,NO DATA
240 TROLLEY MOTOR-2,2.4,415,9,0,0,455,USSR,FOOT,NO DATA,NO DATA,NO DATA,BHS1,NO DATA,NO DATA,NO DATA
HYD PUMP-1 FOR GATE 1-4,3.7,415,7.9,0,0,1430,NO DATA,FOOT,NO DATA,NO DATA,NO DATA,BHS1,NO DATA,NO DATA,NO DATA
HYD PUMP-2 FOR GATE 1-4,3.7,415,7.9,0,0,1430,NO DATA,FOOT,NO DATA,NO DATA,NO DATA,BHS1,NO DATA,NO DATA,NO DATA
GREASE LUBRICATION PUMP,1.1,415,2.5,0,0,1400,USSR,FOOT,6-180605C9W1,6-180605C9W1,4A80A4T1,BHS1,TOP,NO DATA,NO DATA
K1 CONVEYOR,45,415,82,0,0,1470,GEC,FOOT,6313,6313,225M,BF1,RHS,NO DATA,NO DATA
K2 CONVEYOR,45,415,82,0,0,1470,GEC,FOOT,6313,6313,225M,BF1,RHS,NO DATA,NO DATA
K3 CONVEYOR,55,415,102,0,0,1480,GEC,FOOT,N314,6314,250M,BF1,RHS,NO DATA,NO DATA
K4 CONVEYOR,55,415,102,0,0,1480,GEC,FOOT,N314,6314,250M,BF1,RHS,NO DATA,NO DATA
K5 CONVEYOR,75,415,135,0,0,1485,GEC,FOOT,N317,6317,280S,BF1,RHS,NO DATA,NO DATA
K6 CONVEYOR,75,415,143,0,0,1485,GEC,FOOT,N317,6317,280S,BF1,RHS,NO DATA,NO DATA
K7 CONVEYOR,160,415,282,425,216,985,GEC,FOOT,N321,6321,KS355L,BF1,RHS,NO DATA,NO DATA
K8 CONVEYOR,160,415,282,425,216,985,GEC,FOOT,N321,6321,KS355L,BF1,RHS,NO DATA,NO DATA
913 VALVE MOTOR,0.25,415,0.87,0,0,0,NO DATA,FOOT,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
914 VALVE MOTOR,0.25,415,0.87,0,0,0,NO DATA,FOOT,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
915 VALVE MOTOR,0.18,415,0.9,0,0,0,NO DATA,FOOT,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
916 VALVE MOTOR,0.18,415,0.9,0,0,0,NO DATA,FOOT,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
917 AIR VALVE,0.18,415,0.9,0,0,0,NO DATA,FOOT,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
918 AIR VALVE,0.18,415,0.9,0,0,0,NO DATA,FOOT,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
919 AIR VALVE,0.18,415,0.9,0,0,0,NO DATA,FOOT,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
920 AIR VALVE,0.18,415,0.9,0,0,0,NO DATA,FOOT,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
HYDRAULIC PUMP MOTOR-923,3.7,415,7.3,0,0,1440,NGEF,FLAN,6306,6306,AM112M4,BF1,RHS,NO DATA,NO DATA
HYDRAULIC PUMP MOTOR-924,3.7,415,7.3,0,0,1440,NGEF,FOOT,6306,6306,AM112M4,BF1,RHS,NO DATA,NO DATA
HYDRAULIC PUMP MOTOR-925,3.7,415,7.3,0,0,1440,NGEF,FOOT,6306,6306,AM112M4,BF1,RHS,NO DATA,NO DATA
VENTILLATION MOTOR-933,0.75,415,2,0,0,925,NO DATA,FLAN,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
VENTILLATION MOTOR-934,0.55,415,1.5,0,0,1400,NO DATA,FLAN,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
VENTILLATION MOTOR-935,0.55,415,1.5,0,0,1440,NO DATA,FLAN,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
VENTILLATION MOTOR-936,0.55,415,1.5,0,0,1440,NO DATA,FLAN,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
CONDENSATE PUMP-466,1.5,415,3.4,0,0,1400,KEC,FOOT,6205,6205,KH90L,BF1,NO DATA,NO DATA,NO DATA
PUMP OF AIR HEATERS-465,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
PUMP OF HOT WATER-464,3.7,415,7.6,0,0,1430,KEC,FOOT,6306,6206,KH112M,BF1,NO DATA,NO DATA,NO DATA
PUMP OF HEATED WATER-463,22,415,40,0,0,2910,CGL,FOOT,6310,6310,D180L,BF1,NO DATA,NO DATA,NO DATA
PUMP OF COLD WATER-462,15,415,26,0,0,2900,CGL,FOOT,6309,6309,D160L,BF1,NO DATA,NO DATA,NO DATA
PUMP OF COLD WATER-461,15,415,26,0,0,2900,CGL,FOOT,6309,6309,D160L,BF1,NO DATA,NO DATA,NO DATA
PUMP OF INJECTION-458,23,415,41.5,0,0,2910,CGL,FOOT,6310,6310,D180L,BF1,NO DATA,NO DATA,NO DATA
VENTILLATION MOTOR-451,110,415,194,0,0,735,USSR,FOOT,2320K,7-0320,A03 355S.8T3,BF1,NO DATA,NO DATA,NO DATA
GUIDE VANE FOR 453,0.06,240,1.1,0,0,2500,USSR,FLAN,NO DATA,NO DATA,DAY-63P,BF1,NO DATA,NO DATA,NO DATA
VENTILLATION MOTOR-452,110,415,194,0,0,735,USSR,FOOT,2320K,7-0320,A03 355S.8T3,BF1,NO DATA,NO DATA,NO DATA
GUIDE VANE FOR(452)-454,0.06,240,1.1,0,0,2500,USSR,FLAN,NO DATA,NO DATA,DAY-63P,BF1,NO DATA,NO DATA,NO DATA
SLUDGE PUMP-551,160,415,275,0,0,1485,KEC,FOOT,N319,6319,LD315LMK11,BF1,NO DATA,NO DATA,NO DATA
SLUDGE PUMP-552,160,415,275,0,0,1485,KEC,FOOT,N319,6319,LD315LMK11,BF1,NO DATA,NO DATA,NO DATA
SLUDGE PUMP-553,160,415,275,0,0,1485,KEC,FOOT,N319,6319,LD315LMK11,BF1,NO DATA,NO DATA,NO DATA
VALVE MOTOR-554,0.37,415,1.1,0,0,910,SKODA ENGG PVT,FLAN,NO DATA,NO DATA,52031,BF1,NO DATA,NO DATA,NO DATA
VALVE MOTOR-558,0.37,415,1.1,0,0,910,SKODA ENGG PVT,NO DATA,NO DATA,NO DATA,52031,BF1,NO DATA,NO DATA,NO DATA
6A MOTOR,500,6600,53,0,0,740,USSR,FOOT,326,2326,AK3-13-46-6T4,BF1,NO DATA,NO DATA,NO DATA
6B MOTOR,500,6600,53,0,0,740,USSR,FOOT,326,2326,AK3-13-46-6T4,BF1,NO DATA,NO DATA,NO DATA
7A MOTOR,500,6600,53,0,0,740,USSR,FOOT,326,2326,AK3-13-46-6T4,BF1,NO DATA,NO DATA,NO DATA
7B MOTOR,500,6600,53,0,0,740,USSR,FOOT,326,2326,AK3-13-46-6T4,BF1,NO DATA,NO DATA,NO DATA
DEDUSTING VALVE-551,0.25,415,0.87,0,0,1380,USSR,NO DATA,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
AUXILLARY MOTOR-501,75,415,130,0,0,1475,USSR,FOOT,NO DATA,NO DATA,AOP-2-92-4T2,BF1,NO DATA,NO DATA,NO DATA
AUXILLARY MOTOR-502,75,415,130,0,0,1475,USSR,FOOT,NO DATA,NO DATA,AOP-2-82-4T2,BF1,NO DATA,NO DATA,NO DATA
LUBRICATION PUMP-511,3,415,5.1,0,0,1420,USSR,FOOT,6-180606C9W1,6-180606C9W1,4Y100S4T1,BF1,NO DATA,NO DATA,NO DATA
LUBRICATION PUMP-512,3,415,5.1,0,0,1420,USSR,FOOT,6-180606C9W1,6-180606C9W1,4YA100S4T1,BF1,NO DATA,NO DATA,NO DATA
LUBRICATION PUMP-513,3,415,5.1,0,0,1420,USSR,FOOT,6-180606C9W1,6-180606C9W1,4AY100S4T1,BF1,NO DATA,NO DATA,NO DATA
LUBRICATION PUMP-514,3,415,5.1,0,0,1420,USSR,FOOT,6-180606C9W1,6-180606C9W1,4YA100S4T1,BF1,NO DATA,NO DATA,NO DATA
BELT TENSION DEVICE D-1,11,415,23.5,0,0,730,USSR,FOOT,6310,62310,4AP160M8T2,BF1,NO DATA,NO DATA,NO DATA
BELT TENSION DEVICE B-1,11,415,25.5,0,0,730,USSR,FOOT,6310,62310,4AP160M8T2,BF1,NO DATA,NO DATA,NO DATA
LUBRICATION PUMP-509,3,415,5.1,0,0,1420,USSR,FOOT,6-180606C9W1,6-180606C9W1,4YA100S4T1,BF1,NO DATA,NO DATA,NO DATA
LUBRICATION PUMP-510,3,415,5.1,0,0,1420,USSR,FOOT,6-180606C9W1,6-180606C9W1,4AY100S4T1,BF1,NO DATA,NO DATA,NO DATA
LUBRICATION PUMP-507,3,415,5.1,0,0,1420,USSR,FOOT,6-180606C9W1,6-180606C9W1,4AY100S4T1,BF1,NO DATA,NO DATA,NO DATA
LUBRICATION PUMP-508,3,415,5.1,0,0,1420,USSR,FOOT,6-180606C9W1,6-180606C9W1,4AY100S4T1,BF1,NO DATA,NO DATA,NO DATA
B-1 CONVEYOR MOTOR-541,160,415,265,0,0,935,USSR,FOOT,2320K,70320,403-355M6T3,BF1,NO DATA,NO DATA,NO DATA
B-1 CONVEYOR MOTOR-542,160,415,265,0,0,935,USSR,FOOT,2320K,70320,403-355M6T3,BF1,NO DATA,NO DATA,NO DATA
VENTILLATION MOTOR-531,7.5,415,14.5,0,0,1440,CGL,FOOT,6306,6206,ND132M,BF1,NO DATA,NO DATA,NO DATA
VENTILLATION MOTOR-532,7.5,415,14.5,0,0,1440,CGL,FOOT,6306,6206,ND132M,BF1,NO DATA,NO DATA,NO DATA
BELT WINCH MOTOR-528,30,415,66,0,0,600,USSR,FOOT,6314,6314,NO DATA,BF1,NO DATA,NO DATA,NO DATA
BELT WINCH MOTOR,30,415,66,0,0,740,CGL,FOOT,6314,6314,D250M,BF1,NO DATA,NO DATA,NO DATA
VENTILLATOR OF DPH-3,0.87,415,2.15,0,0,1380,NO DATA,FOOT,NO DATA,NO DATA,NO DATA,BF1,NO DATA,NO DATA,NO DATA
DRAINAGE PUMP-545,5.5,415,11.7,0,0,1440,GEC,FOOT,6208Z,6208Z,132M,BF1,NO DATA,NO DATA,NO DATA
DRAINAGE PUMP-544,5.5,415,11.7,0,0,1440,GEC,FOOT,6208Z,6208Z,132M,BF1,NO DATA,NO DATA,NO DATA
KK3 CONVEYOR MOTOR,37,415,67,0,0,1460,GEC,FOOT,6313,6313,225S,BF1,LHS,NO DATA,NO DATA
KK4 CONVEYOR MOTOR,37,415,67,0,0,1460,GEC,FOOT,6313,6313,225S,BF1,LHS,NO DATA,NO DATA
KA3 CONVEYOR MOTOR,37,415,67,0,0,1460,GEC,FOOT,6313,6313,225S,BF1,LHS,NO DATA,NO DATA
