Title,drwg_link,icon
BF2 Tilting VFD,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-tilting-drive-panel.pdf,https://cdn0.iconfinder.com/data/icons/public-transport-16/100/08cable_elevator_inclined_logo_public_railway_transport-512.png
BF2 BLT LUBRICATION LCP,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-blt-lubrication-lcp.pdf,https://cdn0.iconfinder.com/data/icons/car-repair-7/64/Automotive_can_lubricant_oil-256.png
BF2 BLT LUBRICATION LCP HARWIRE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-blt-lubrication-lcp-harwire.pdf,https://cdn1.iconfinder.com/data/icons/oil-industry-flaticon/64/oiler-petroleum-lubricant-bottle-industry-256.png
BF2 AC STATION VALVES,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-ac-station-valves.pdf,https://cdn0.iconfinder.com/data/icons/construction-flat-3/64/valve-pipe-construction-256.png
BF2 AC STATION VALVES CONTROL WIRE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-ac-station-valves-control-wire.pdf,https://cdn4.iconfinder.com/data/icons/industrial-color-line/64/Valve-256.png
BF2 AC STATION MCC,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-ac-station-mcc.pdf,https://cdn1.iconfinder.com/data/icons/electrician-6/64/electric_danger_sign-signaling-warning-triangle-256.png
BF2 STOVES CONTROL ABT,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-stoves-control-abt.pdf,https://cdn0.iconfinder.com/data/icons/security-protection-3/64/Security-51-256.png
BF2 STOVE 5,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-stove-5.pdf,https://cdn4.iconfinder.com/data/icons/modern-technologies/32/technology_firewall_antivirus_protection-64-512.png
BF2 STOVE 6,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-stove-6.pdf,https://cdn4.iconfinder.com/data/icons/modern-technologies/32/technology_firewall_antivirus_protection-51-512.png
BF2 STOVE 7,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-stove-7.pdf,https://cdn3.iconfinder.com/data/icons/scenarium-vol-19/128/019_013_fire_wall_firewall_security-256.png
BF2 SNORT,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-snort_steam.pdf,https://cdn2.iconfinder.com/data/icons/pollution-14/340/pipe_pollution_leak_industry_leaking_construction_gas_valve-512.png
BF2 200 BD VALVE,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-200_new_bd_fdr_ref.pdf,https://cdn1.iconfinder.com/data/icons/pipes-water-flow-cartoony/61/74_-Valve-_water_flow-256.png
BF2 101 VALVE CONTROL,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-101-valve-control.pdf,https://cdn1.iconfinder.com/data/icons/pipes-water-flow-retro/61/74_-Valve-_water_flow-256.png
BF2 NCS VALVES,https://bfapps75845438.wordpress.com/wp-content/uploads/2022/02/bf2-ncs_mcc.pdf,https://cdn0.iconfinder.com/data/icons/technical-mechanisms/500/vi125_7_valve_cartoon_object_logo_pressure_meter_control-128.png
